Date,study,Quran,exercise ,Religious knowledge ,Gaming ,majlis,,
Jun 12,150 mints ,2 mints ,0 mints ,6 mints ,50 mints ,5 mints ,yes,5 mints 
Jun 13,200 mints ,2 mints ,30 mints ,4 mints ,30 mints ,8 mints ,yes,5 mints 
Jun 14,300 mints ,2 mints ,5 mints ,3 mints ,0 mints ,7 mints ,yes,5 mints 
Jun 15,300 mints ,2 mints ,30 mints ,9 mints ,0 mints ,11 mints ,yes,5 mints 
Jun 16,180 mints ,2 mints ,0 mints ,5 mints ,40 mints ,5 mints ,yes,5 mints 
Jun 17,200 mints ,2 mints ,20 mints ,3 mints ,0 mints ,10 mints ,yes,10 mints 
Jun 20,holiday ,2 mints ,0 mints ,4 mints ,0 mints ,15 mints ,yes,5 mints 
Jun 18,100 mints ,2 mints ,5 mints ,no,0 mints ,7 mints ,yes,5 mints 
Jun 19,240 mints ,2 mints ,0 mints ,5 mints ,60 mints ,5 mints ,yes,5 mints 
Jun 21,60 mints ,2 mints ,10 mints ,3 mints ,0 mints ,10 mints ,yes,7 mints 
Jun 22,180 mints ,2 mints ,60 mints ,5 mints ,0 mints ,15 mints ,yes,5 mints 
Jun 23,250 mints ,2 mints ,60 mints ,4 mints ,0 mints ,10 mints ,yes,4 mints 
Jun 24,200 mints ,5 mints ,5 mints ,5 mints ,5 mints ,10 mints ,yes,2 mints 
Jun 25,60 mints ,2 mints ,10 mints ,4 mints ,30 mints ,10 mints ,yes,10 mints 
Jun 26,150 mints ,2 mints ,0 mints ,4 mints ,35 mints ,15 mints ,yes,12 mints 
Jun 27,240 mints ,2 mints ,0 mints ,4 mints ,30 mints ,10 mints ,yes,5 mints 
Jun 28,300 mints ,5 mints ,0 mints ,5 mints ,0 mints ,11 mints ,yes,5 mints 
Jun 29,300 mints ,2 mints ,70 mints ,5 mints ,0 mints ,5 mints ,yes,2 mints 
Jun 30,240 mints ,5 mints ,60 mints ,6 mints ,0 mints ,5 mints ,yes,2 mints 
Jul 1,200 mints ,5 mints ,5 mints ,5 mints ,0 mints ,10 mints ,yes,0 mints 
Jul 2,200 mints ,2 mints ,50 mints ,5 mints ,0 mints ,10 mints ,yes,2 mints 
Jul 3,240 mints ,10 mints ,0 mints ,3 mints ,0 mints ,15 mints ,yes,15 mints 
Jul 4,200 mints ,2 mints ,0 mints ,4 mints ,0 mints ,5 mints ,yes,2 mints 
Jul 5,300 mints ,2 mints ,20 mints ,4 mints ,0 mints ,10 mints ,yes,5 mints 
Jul 6,250 mints ,2 mints ,60 mints ,5 mints ,0 mints ,5 mints ,yes,4 mints 
Jul 7,300 mints,2 mints,5 mints,4 mints ,60 mints ,20 mints ,yes,5 mints 
Jul 8,200 mints ,2 mints ,0 mints ,5 mints ,0 mints ,15 mints ,yes,5 mints 
Jul 9,300 mints ,2 mints ,60 mints ,5 mints ,60 mints ,10 mints ,yes,5 mints 
Jul 10,150 mints ,2 mints ,5 mints ,6 mints ,0 mints ,15 mints ,yes,5 mints 
Jul 11,100 mints ,5 mints ,0 mints ,6 mints ,0 mints ,10 mints ,yes,2 mints 
Jul 12,250 mints ,2 mints ,0 mints ,3 mints ,0 mints ,10 mints ,yes,5 mints 
Jul 13,240 mints ,2 mints ,0 mints ,6 mints ,0 mints ,5 mints ,yes,2 mints 
Jul 14,300 mints ,5 mints ,2 mints ,5 mints ,35 mints ,10 mints ,yes,10 mints 
Jul 15,200 mints ,5 mints ,0 mints ,5 mints ,0 mints ,15 mints ,yes,10 mints
Jul 16,120 mints ,10 mints ,0 mints ,5 mints ,30 mints ,10 mints ,yes,5 mints 
Jul 17,150 mints ,2 mints ,0 mints ,5 mints ,60 mints ,10 mints ,yes,5 mints 
Jul 18,150 mints ,2 mints ,0 mints ,5 mints ,60 mints ,10 mints ,yes,2 mints 
Jul 19,120 mints ,100 mints ,5 mints ,3 mints ,60 mints ,15 mints ,yes,5 mints 
Jul 20,majlis,5 mints ,10 mints ,3 mints ,0 mints ,80 mints ,yes,5 mints 
Jul 21,100 mints ,2 mints ,0 mints ,5 mints ,10 mints ,10 mints ,yes,5 mints 
Jul 22,120 mints ,2 mints ,5 mints ,5 mints ,15 mints ,5 mints ,yes,2 mints 
Jul 23,150 mints ,2 mints ,10 mints ,5 mints ,30 mints ,10 mints ,yes,5 mints 
Jul 24,420 mints ,2 mints ,5 mints ,6 mints ,100 mints ,10 mints ,yes,5 mints 
Jul 25,100 mints ,2 mints ,5 mints ,5 mints ,40 mints ,10 mints ,yes,2 mints 
Jul 26,60 mints ,2 mints ,0 mints ,3 mints ,30 mints ,5 mints ,yes,0 mints 
Jul 27,200 mints ,2 mints ,5 mints ,4 mints ,40 mints ,10 mints ,yes,0 mints 
Jul 28,120 mints ,2 mints ,0 mints ,4 mints ,30 mints ,30 mints ,yes,2 mints 
Jul 29,0 mints ,2 mints ,5 mints ,15 mints ,0 mints ,10 mints ,yes,5 mints 
Jul 30,150 mints ,2 mints ,5 mints ,12 mints ,30 mints ,10 mints ,yes,3 mints 
Jul 31,100 mints ,2 mints ,0 mints ,5 mints ,60 mints ,10 mints ,yes,2 mints 
Aug 1,120 mints ,2 mints ,0 mints ,4 mints ,40 mints ,15 mints ,yes,3 mints 
Aug 2,100 mints ,2 mints ,0 mints ,4 mints ,30 mints,10 mints ,yes,2 mints
Aug 3,150 mints ,2 mints ,0 mints ,2 mints ,40 mints ,10 mints ,yes,5 mints 
Aug 4,200 mints ,5 mints ,20 mints ,4 mints ,40 mints ,30 mints ,yes,5 mints 
Aug 5,100 mints ,5 mints ,5 mints ,6 mints ,0 mints ,20 mints ,yes,5 mints 
Aug 6,holiday ,2 mints ,70 mints ,2 mints ,40 mints ,10 mints ,yes,2 mints 
Aug 7,holiday ,3 mints ,80 mints ,5 mints ,0 mints ,10 mints ,yes,0 mints 
Aug 8,200 mints ,2 mints ,10 mints ,8 mints ,30 mints ,10 mints ,yes,2 mints 
Aug 9,120 mints ,5 mints ,muharram ,10 mints ,0 mints ,30 mints ,yes,5 mints 
Aug 10,250 mints ,5 mints ,muharram ,3 mints ,0 mints ,100 mints ,yes,15 mints 
Aug 11,200 mints ,2 mints ,muharram ,4 mints ,0 mints ,150 mints ,yes,5 mints 
Aug 12,250 mints ,2 mints ,muharram ,7 mints ,0 mints ,100 mints ,yes,5 mints 
Aug 13,200 mints ,2 mints ,muharram ,6 mints ,0 mints ,100 mints ,yes,7 mints 
Aug 14,240 mints ,2 mints ,muharram ,5 mints ,0 mints ,100 mints ,yes,5 mints 
Aug 15,180 mints ,5 mints ,muharram ,10 mints ,0 mints ,60 mints ,yes,5 mints 
Aug 16,holiday ,2 mints ,muharram ,5 mints ,0 mints ,80 mints ,yes,2 mints 
Aug 17,muharram ,2 mints ,muharram ,70 mints ,0 mints ,100 mints ,yes,5 mints 
Aug 18,Ashura,10 mints ,Ashura ,Ashura,Ashura,100 mints ,yes,Ashura
Aug 19,Ashura,5 mints ,Ashura,10 mints ,Ashura,100 mints ,yes,Ashura
Aug 20,holiday ,2 mints ,0 mints ,30 mints ,0 mints ,10 mints ,yes,5 mints 
Aug 21,150 mints ,3 mints ,10 mints ,4 mints ,30 mints ,80 mints ,yes,3 mints 
Aug 22,250 mints,5 mints,10 mints ,2 mints ,30 mints ,5 mints ,yes,5 mints 
Aug 23,400 mints ,5 mints ,10 mints ,4 mints ,60 mints ,10 mints ,yes,5 mints 
Aug 24,300 mints ,5 mints ,5 mints ,5 mints ,40 mints ,10 mints ,yes,10 mints 
Aug 25,350 mints ,5 mints ,10 mints ,7 mints ,60 mints ,10 mints ,yes,5 mints 
Aug 26,420 mints ,5 mints ,10 mints ,10 mints ,0 mints ,10 mints ,yes,5 mints 
Aug 27,500 mints ,5 mints ,10 mints ,5 mints ,20 mints ,10 mints ,yes,10 mints 
Aug 28,240 mints ,10 mints ,5 mints ,7 mints ,250 mints ,10 mints ,yes,7 mints 
Aug 29,200 mints ,5 mints ,0 mints ,4 mints ,20 mints ,10 mints ,yes,28 mints 
Aug 30,250 my ,5 mints ,10 mints,5 mints ,30 mints ,15 mints ,yes,10 mints 
Aug 31,,,,,,,,
Sep 1,,,,,,,,
Sep 2,,,,,,,,
Sep 3,,,,,,,,
Sep 4,,,,,,,,
Sep 5,,,,,,,,
Sep 6,,,,,,,,
Sep 7,,,,,,,,
Sep 8,,,,,,,,
Sep 9,,,,,,,,
Sep 10,,,,,,,,
Sep 11,,,,,,,,
Sep 12,,,,,,,,
Sep 13,,,,,,,,
Sep 14,,,,,,,,
Sep 15,,,,,,,,
Sep 16,,,,,,,,
Sep 17,,,,,,,,
Sep 18,,,,,,,,
Sep 19,,,,,,,,
Sep 20,,,,,,,,
Sep 21,,,,,,,,
Sep 22,,,,,,,,
Sep 23,,,,,,,,
Sep 24,,,,,,,,
Sep 25,,,,,,,,
Sep 26,,,,,,,,
Sep 27,,,,,,,,
Sep 28,,,,,,,,
Sep 29,,,,,,,,
Sep 30,,,,,,,,
Oct 1,,,,,,,,
Oct 2,,,,,,,,
Oct 3,,,,,,,,
Oct 4,,,,,,,,
Oct 5,,,,,,,,
Oct 6,,,,,,,,
Oct 7,,,,,,,,
Oct 8,,,,,,,,
Oct 9,,,,,,,,
Oct 10,,,,,,,,
Oct 11,,,,,,,,
Oct 12,,,,,,,,
Oct 13,,,,,,,,
Oct 14,,,,,,,,
Oct 15,,,,,,,,
Oct 16,,,,,,,,
Oct 17,,,,,,,,
Oct 18,,,,,,,,
Oct 19,,,,,,,,
Oct 20,,,,,,,,
Oct 21,,,,,,,,
Oct 22,,,,,,,,
Oct 23,,,,,,,,
Oct 24,,,,,,,,
Oct 25,,,,,,,,
Oct 26,,,,,,,,
Oct 27,,,,,,,,
Oct 28,,,,,,,,
Oct 29,,,,,,,,
Oct 30,,,,,,,,
Oct 31,,,,,,,,
Nov 1,,,,,,,,
Nov 2,,,,,,,,
Nov 3,,,,,,,,
Nov 4,,,,,,,,
Nov 5,,,,,,,,
Nov 6,,,,,,,,
Nov 7,,,,,,,,
Nov 8,,,,,,,,
Nov 9,,,,,,,,
Nov 10,,,,,,,,
Nov 11,,,,,,,,
Nov 12,,,,,,,,
Nov 13,,,,,,,,
Nov 14,,,,,,,,
Nov 15,,,,,,,,
Nov 16,,,,,,,,
Nov 17,,,,,,,,
Nov 18,,,,,,,,
Nov 19,,,,,,,,
Nov 20,,,,,,,,
Nov 21,,,,,,,,
Nov 22,,,,,,,,
Nov 23,,,,,,,,
Nov 24,,,,,,,,
Nov 25,,,,,,,,
Nov 26,,,,,,,,
Nov 27,,,,,,,,
Nov 28,,,,,,,,
Nov 29,,,,,,,,
Nov 30,,,,,,,,
Dec 1,,,,,,,,
Dec 2,,,,,,,,
Dec 3,,,,,,,,
Dec 4,,,,,,,,
Dec 5,,,,,,,,
Dec 6,,,,,,,,
Dec 7,,,,,,,,
Dec 8,,,,,,,,
Dec 9,,,,,,,,
Dec 10,,,,,,,,
Dec 11,,,,,,,,
Dec 12,,,,,,,,
Dec 13,,,,,,,,
Dec 14,,,,,,,,
Dec 15,,,,,,,,
Dec 16,,,,,,,,
Dec 17,,,,,,,,
Dec 18,,,,,,,,
Dec 19,,,,,,,,
Dec 20,,,,,,,,
Dec 21,,,,,,,,
Dec 22,,,,,,,,
Dec 23,,,,,,,,
Dec 24,,,,,,,,
Dec 25,,,,,,,,
Dec 26,,,,,,,,
Dec 27,,,,,,,,
Dec 28,,,,,,,,
Dec 29,,,,,,,,
Dec 30,,,,,,,,
Dec 31,,,,,,,,
Jan 1,,,,,,,,
Jan 2,,,,,,,,
Jan 3,,,,,,,,
Jan 4,,,,,,,,
Jan 5,,,,,,,,
Jan 6,,,,,,,,
Jan 7,,,,,,,,
Jan 8,,,,,,,,
Jan 9,,,,,,,,
Jan 10,,,,,,,,
Jan 11,,,,,,,,
Jan 12,,,,,,,,
Jan 13,,,,,,,,
Jan 14,,,,,,,,
Jan 15,,,,,,,,
Jan 16,,,,,,,,
Jan 17,,,,,,,,
Jan 18,,,,,,,,
Jan 19,,,,,,,,
Jan 20,,,,,,,,
Jan 21,,,,,,,,
Jan 22,,,,,,,,
Jan 23,,,,,,,,
Jan 24,,,,,,,,
Jan 25,,,,,,,,
Jan 26,,,,,,,,
Jan 27,,,,,,,,
Jan 28,,,,,,,,
Jan 29,,,,,,,,
Jan 30,,,,,,,,
Jan 31,,,,,,,,
Feb 1,,,,,,,,
Feb 2,,,,,,,,
Feb 3,,,,,,,,
Feb 4,,,,,,,,
Feb 5,,,,,,,,
Feb 6,,,,,,,,
Feb 7,,,,,,,,
Feb 8,,,,,,,,
Feb 9,,,,,,,,
Feb 10,,,,,,,,
Feb 11,,,,,,,,
Feb 12,,,,,,,,
Feb 13,,,,,,,,
Feb 14,,,,,,,,
Feb 15,,,,,,,,
Feb 16,,,,,,,,
Feb 17,,,,,,,,
Feb 18,,,,,,,,
Feb 19,,,,,,,,
Feb 20,,,,,,,,
Feb 21,,,,,,,,
Feb 22,,,,,,,,
Feb 23,,,,,,,,
Feb 24,,,,,,,,
Feb 25,,,,,,,,
Feb 26,,,,,,,,
Feb 27,,,,,,,,
Feb 28,,,,,,,,
Mar 1,,,,,,,,
Mar 2,,,,,,,,
Mar 3,,,,,,,,
Mar 4,,,,,,,,
Mar 5,,,,,,,,
Mar 6,,,,,,,,
Mar 7,,,,,,,,
Mar 8,,,,,,,,
Mar 9,,,,,,,,
Mar 10,,,,,,,,
Mar 11,,,,,,,,
Mar 12,,,,,,,,
Mar 13,,,,,,,,
Mar 14,,,,,,,,
Mar 15,,,,,,,,
Mar 16,,,,,,,,
Mar 17,,,,,,,,
Mar 18,,,,,,,,
Mar 19,,,,,,,,
Mar 20,,,,,,,,
Mar 21,,,,,,,,
Mar 22,,,,,,,,
Mar 23,,,,,,,,
Mar 24,,,,,,,,
Mar 25,,,,,,,,
Mar 26,,,,,,,,
Mar 27,,,,,,,,
Mar 28,,,,,,,,
Mar 29,,,,,,,,
Mar 30,,,,,,,,
Mar 31,,,,,,,,
Apr 1,,,,,,,,
Apr 2,,,,,,,,
Apr 3,,,,,,,,
Apr 4,,,,,,,,
Apr 5,,,,,,,,
Apr 6,,,,,,,,
Apr 7,,,,,,,,
Apr 8,,,,,,,,
Apr 9,,,,,,,,
Apr 10,,,,,,,,
Apr 11,,,,,,,,
Apr 12,,,,,,,,
Apr 13,,,,,,,,
Apr 14,,,,,,,,
Apr 15,,,,,,,,
Apr 16,,,,,,,,
Apr 17,,,,,,,,
Apr 18,,,,,,,,
Apr 19,,,,,,,,
Apr 20,,,,,,,,
Apr 21,,,,,,,,
Apr 22,,,,,,,,
Apr 23,,,,,,,,
Apr 24,,,,,,,,
Apr 25,,,,,,,,
Apr 26,,,,,,,,
Apr 27,,,,,,,,
Apr 28,,,,,,,,
Apr 29,,,,,,,,
Apr 30,,,,,,,,
May 1,,,,,,,,
May 2,,,,,,,,
May 3,,,,,,,,
May 4,,,,,,,,
May 5,,,,,,,,
May 6,,,,,,,,
May 7,,,,,,,,
May 8,,,,,,,,
May 9,,,,,,,,
May 10,,,,,,,,
May 11,,,,,,,,
May 12,,,,,,,,
May 13,,,,,,,,
May 14,,,,,,,,
May 15,,,,,,,,
May 16,,,,,,,,
May 17,,,,,,,,
May 18,,,,,,,,
May 19,,,,,,,,
May 20,,,,,,,,
May 21,,,,,,,,
May 22,,,,,,,,
May 23,,,,,,,,
May 24,,,,,,,,
May 25,,,,,,,,
May 26,,,,,,,,
May 27,,,,,,,,
May 28,,,,,,,,
May 29,,,,,,,,
May 30,,,,,,,,
May 31,,,,,,,,
Jun 1,,,,,,,,
Jun 2,,,,,,,,
Jun 3,,,,,,,,
Jun 4,,,,,,,,
Jun 5,,,,,,,,
Jun 6,,,,,,,,
Jun 7,,,,,,,,
Jun 8,,,,,,,,
Jun 9,,,,,,,,
Jun 10,,,,,,,,
Jun 11,,,,,,,,
Jun 12,,,,,,,,
Jun 13,,,,,,,,
Jun 14,,,,,,,,
Jun 15,,,,,,,,
Jun 16,,,,,,,,
Jun 17,,,,,,,,
Jun 18,,,,,,,,
Jun 19,,,,,,,,
Jun 20,,,,,,,,
Jun 21,,,,,,,,
Jun 22,,,,,,,,
Jun 23,,,,,,,,
Jun 24,,,,,,,,
Jun 25,,,,,,,,
Jun 26,,,,,,,,
Jun 27,,,,,,,,
Jun 28,,,,,,,,
Jun 29,,,,,,,,
Jun 30,,,,,,,,
Jul 1,,,,,,,,
Jul 2,,,,,,,,
Jul 3,,,,,,,,
Jul 4,,,,,,,,
Jul 5,,,,,,,,
Jul 6,,,,,,,,
Jul 7,,,,,,,,
Jul 8,,,,,,,,
Jul 9,,,,,,,,
Jul 10,,,,,,,,
Jul 11,,,,,,,,
Jul 12,,,,,,,,
Jul 13,,,,,,,,
Jul 14,,,,,,,,
Jul 15,,,,,,,,
Jul 16,,,,,,,,
Jul 17,,,,,,,,
Jul 18,,,,,,,,
Jul 19,,,,,,,,
Jul 20,,,,,,,,
Jul 21,,,,,,,,
Jul 22,,,,,,,,
Jul 23,,,,,,,,
Jul 24,,,,,,,,
Jul 25,,,,,,,,
Jul 26,,,,,,,,
Jul 27,,,,,,,,
Jul 28,,,,,,,,
Jul 29,,,,,,,,
Jul 30,,,,,,,,
Jul 31,,,,,,,,
Aug 1,,,,,,,,
Aug 2,,,,,,,,
Aug 3,,,,,,,,
Aug 4,,,,,,,,
Aug 5,,,,,,,,
Aug 6,,,,,,,,
Aug 7,,,,,,,,
Aug 8,,,,,,,,
Aug 9,,,,,,,,
Aug 10,,,,,,,,
Aug 11,,,,,,,,
Aug 12,,,,,,,,
Aug 13,,,,,,,,
Aug 14,,,,,,,,
Aug 15,,,,,,,,
Aug 16,,,,,,,,
Aug 17,,,,,,,,
Aug 18,,,,,,,,
Aug 19,,,,,,,,
Aug 20,,,,,,,,
Aug 21,,,,,,,,
Aug 22,,,,,,,,
Aug 23,,,,,,,,
Aug 24,,,,,,,,
Aug 25,,,,,,,,
Aug 26,,,,,,,,
Aug 27,,,,,,,,
Aug 28,,,,,,,,
Aug 29,,,,,,,,
Aug 30,,,,,,,,
Aug 31,,,,,,,,
Sep 1,,,,,,,,
Sep 2,,,,,,,,
Sep 3,,,,,,,,
Sep 4,,,,,,,,
Sep 5,,,,,,,,
Sep 6,,,,,,,,
Sep 7,,,,,,,,
Sep 8,,,,,,,,
Sep 9,,,,,,,,
Sep 10,,,,,,,,
Sep 11,,,,,,,,
Sep 12,,,,,,,,
Sep 13,,,,,,,,
Sep 14,,,,,,,,
Sep 15,,,,,,,,
Sep 16,,,,,,,,
Sep 17,,,,,,,,
Sep 18,,,,,,,,
Sep 19,,,,,,,,
Sep 20,,,,,,,,
Sep 21,,,,,,,,
Sep 22,,,,,,,,
Sep 23,,,,,,,,
Sep 24,,,,,,,,
Sep 25,,,,,,,,
Sep 26,,,,,,,,
Sep 27,,,,,,,,
Sep 28,,,,,,,,
Sep 29,,,,,,,,
Sep 30,,,,,,,,
Oct 1,,,,,,,,
Oct 2,,,,,,,,
Oct 3,,,,,,,,
Oct 4,,,,,,,,
Oct 5,,,,,,,,
Oct 6,,,,,,,,
Oct 7,,,,,,,,
Oct 8,,,,,,,,
Oct 9,,,,,,,,
Oct 10,,,,,,,,
Oct 11,,,,,,,,
Oct 12,,,,,,,,
Oct 13,,,,,,,,
Oct 14,,,,,,,,
Oct 15,,,,,,,,
Oct 16,,,,,,,,
Oct 17,,,,,,,,
Oct 18,,,,,,,,
Oct 19,,,,,,,,
Oct 20,,,,,,,,
Oct 21,,,,,,,,
Oct 22,,,,,,,,
Oct 23,,,,,,,,
Oct 24,,,,,,,,
Oct 25,,,,,,,,
Oct 26,,,,,,,,
Oct 27,,,,,,,,
Oct 28,,,,,,,,
Oct 29,,,,,,,,
Oct 30,,,,,,,,
Oct 31,,,,,,,,
Nov 1,,,,,,,,
Nov 2,,,,,,,,
Nov 3,,,,,,,,
Nov 4,,,,,,,,
Nov 5,,,,,,,,
Nov 6,,,,,,,,
Nov 7,,,,,,,,
Nov 8,,,,,,,,
Nov 9,,,,,,,,
Nov 10,,,,,,,,
Nov 11,,,,,,,,
Nov 12,,,,,,,,
Nov 13,,,,,,,,
Nov 14,,,,,,,,
Nov 15,,,,,,,,
Nov 16,,,,,,,,
Nov 17,,,,,,,,
Nov 18,,,,,,,,
Nov 19,,,,,,,,
Nov 20,,,,,,,,
Nov 21,,,,,,,,
Nov 22,,,,,,,,
Nov 23,,,,,,,,
Nov 24,,,,,,,,
Nov 25,,,,,,,,
Nov 26,,,,,,,,
Nov 27,,,,,,,,
Nov 28,,,,,,,,
Nov 29,,,,,,,,
Nov 30,,,,,,,,
Dec 1,,,,,,,,
Dec 2,,,,,,,,
Dec 3,,,,,,,,
Dec 4,,,,,,,,
Dec 5,,,,,,,,
Dec 6,,,,,,,,
Dec 7,,,,,,,,
Dec 8,,,,,,,,
Dec 9,,,,,,,,
Dec 10,,,,,,,,
Dec 11,,,,,,,,
Dec 12,,,,,,,,
Dec 13,,,,,,,,
Dec 14,,,,,,,,
Dec 15,,,,,,,,
Dec 16,,,,,,,,
Dec 17,,,,,,,,
Dec 18,,,,,,,,
Dec 19,,,,,,,,
Dec 20,,,,,,,,
Dec 21,,,,,,,,
Dec 22,,,,,,,,
Dec 23,,,,,,,,
Dec 24,,,,,,,,
Dec 25,,,,,,,,
Dec 26,,,,,,,,
Dec 27,,,,,,,,
Dec 28,,,,,,,,
Dec 29,,,,,,,,
Dec 30,,,,,,,,
Dec 31,,,,,,,,
Jan 1,,,,,,,,
Jan 2,,,,,,,,
Jan 3,,,,,,,,
Jan 4,,,,,,,,
Jan 5,,,,,,,,
Jan 6,,,,,,,,
Jan 7,,,,,,,,
Jan 8,,,,,,,,
Jan 9,,,,,,,,
Jan 10,,,,,,,,